"priority","pdfNumber","packId","packCategory","question","pdfAnswer","packAnswer","similarity"
"P1_EXACT_QUESTION_WRONG_ANSWER","161","q_31a19c26","Conducción racional","¿Qué actuación es correcta para reducir el consumo de carburante de un automóvil?","Utilizar la relación de marchas más alta posible de forma que la aguja del cuentarrevoluciones se mantenga en la zona de máxima eficiencia del motor, generalmente una zona marcada de color verde.","Dejar de acelerar con suficiente antelación dejando rodar el vehículo.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","162","q_826c0101","Conducción racional","¿Qué actuación es inadecuada para reducir el consumo de carburante de un automóvil?","Aumentar el número de revoluciones del motor utilizando para ello una relación de marchas adecuada.","Pisar el freno inmediatamente después de dejar de acelerar.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","168","q_0e3b7a05","Mecánica y mantenimiento","La zona de máxima eficiencia del motor, también llamada zona económica:","está especificada en el cuentarrevoluciones, generalmente de color verde.","está situada en la parte trasera del vehículo.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","170","q_45b2c308","Mecánica y mantenimiento","En el cuentarrevoluciones, la zona de máxima eficiencia del motor está indicada en color:","verde.","rojo.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","189","q_06b152b8","Mecánica y mantenimiento","En el cuentarrevoluciones de un vehículo pesado existe una zona marcada, generalmente, de color verde, ¿qué indica?","Es la zona de mejor aprovechamiento del carburante.","Es la zona de mayor consumo.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","213","q_a57de9da","Mecánica y mantenimiento","¿Por qué el par en rueda es siempre mayor que el par motor?","Porque la caja de velocidades y el grupo cónico se encargan de multiplicarlo.","Porque la diferencia entre el número de dientes del piñón de ataque y de la corona dentada produce una desmultiplicación constante de las revoluciones del eje secundario, comprendida entre 3/1 a 6/1.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","45","q_94f45699","Seguridad vial","Señale la respuesta incorrecta.","Utilizando la inercia dinámica del vehículo, el desgaste de frenos aumenta.","La declaración amistosa de accidente consigue mayores indemnizaciones.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","159","q_45b42ef7","Mecánica y mantenimiento","¿Dónde se encuentra situado el ralentizador hidrodinámico del tipo ""retárder""?","A la salida de la caja de velocidades.","En el sistema de transmisión.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","209","q_10cd1283","Seguridad vial","El conductor de un vehículo se aproxima a una glorieta, por lo que deja de acelerar antes de llegar. ¿Es correcto su comportamiento?","Sí, porque aprovecha la inercia del vehículo.","No, porque al dejar rodar el vehículo sin acelerar, aunque se reduce el consumo, aumentan los desgastes en la suspensión.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","210","q_bef40217","Seguridad vial","El conductor de un vehículo se aproxima a una intersección regulada con un semáforo que se encuentra en rojo, por lo que deja de acelerar antes de llegar. ¿Es correcto su comportamiento?","Sí, porque aprovecha la inercia del vehículo.","No, porque al dejar rodar el vehículo sin acelerar, aunque se reduce el consumo, aumentan los desgastes en los frenos.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","258","q_4c927332","Geral","Para ahorrar carburante, es conveniente:","observar el cuentarrevoluciones para saber en qué momento se debe cambiar de marcha.","saber seleccionar la relación de marchas más adecuada.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","280","q_1da617e9","Carga y logística","Dependiendo de la presión que se ejerza sobre el pedal del acelerador, el conductor de un automóvil puede:","reducir el número de revoluciones del motor y, con ello, el consumo de carburante.","reducir el consumo de carburante.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","290","q_bb80d114","Mecánica y mantenimiento","¿Cómo se utiliza adecuadamente el sistema de frenado?","Pisando el pedal de freno progresivamente.","Deteniendo el vehículo lo más rápido posible.","1"
