"priority","pdfIndex","packId","category","question","pdfAnswer","packAnswer","sourcePriority","recommendedAction","aiSuggestedDecision","aiConfidence","aiReason","humanNeedsReview","reviewerDecision","notes"
"P1_EXACT_QUESTION_WRONG_ANSWER","161","q_31a19c26","Conducción racional","¿Qué actuación es correcta para reducir el consumo de carburante de un automóvil?","Utilizar la relación de marchas más alta posible de forma que la aguja del cuentarrevoluciones se mantenga en la zona de máxima eficiencia del motor, generalmente una zona marcada de color verde.","Dejar de acelerar con suficiente antelación dejando rodar el vehículo.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Pack answer is 36% the length of PDF answer — likely incomplete. PDF answer preferred.","false","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","162","q_826c0101","Conducción racional","¿Qué actuación es inadecuada para reducir el consumo de carburante de un automóvil?","Aumentar el número de revoluciones del motor utilizando para ello una relación de marchas adecuada.","Pisar el freno inmediatamente después de dejar de acelerar.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Very different answers (token overlap 0%). Pack answer likely wrong — PDF is authoritative source.","false","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","168","q_0e3b7a05","Mecánica y mantenimiento","La zona de máxima eficiencia del motor, también llamada zona económica:","está especificada en el cuentarrevoluciones, generalmente de color verde.","está situada en la parte trasera del vehículo.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Very different answers (token overlap 10%). Pack answer likely wrong — PDF is authoritative source.","false","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","170","q_45b2c308","Mecánica y mantenimiento","En el cuentarrevoluciones, la zona de máxima eficiencia del motor está indicada en color:","verde.","rojo.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Pack answer only 4 chars — appears incomplete. PDF answer is authoritative.","false","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","189","q_06b152b8","Mecánica y mantenimiento","En el cuentarrevoluciones de un vehículo pesado existe una zona marcada, generalmente, de color verde, ¿qué indica?","Es la zona de mejor aprovechamiento del carburante.","Es la zona de mayor consumo.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Answers contain opposing factual terms (e.g., verde/rojo, mayor/menor). One must be wrong — PDF is official source.","false","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","213","q_a57de9da","Mecánica y mantenimiento","¿Por qué el par en rueda es siempre mayor que el par motor?","Porque la caja de velocidades y el grupo cónico se encargan de multiplicarlo.","Porque la diferencia entre el número de dientes del piñón de ataque y de la corona dentada produce una desmultiplicación constante de las revoluciones del eje secundario, comprendida entre 3/1 a 6/1.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Very different answers (token overlap 5%). Pack answer likely wrong — PDF is authoritative source.","false","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","45","q_94f45699","Seguridad vial","Señale la respuesta incorrecta.","Utilizando la inercia dinámica del vehículo, el desgaste de frenos aumenta.","La declaración amistosa de accidente consigue mayores indemnizaciones.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","NEEDS_EXPERT","LOW","Question asks to select from a list — pack may have had different option set. Cannot assume PDF answer maps to same option.","true","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","159","q_45b42ef7","Mecánica y mantenimiento","¿Dónde se encuentra situado el ralentizador hidrodinámico del tipo ""retárder""?","A la salida de la caja de velocidades.","En el sistema de transmisión.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Short answers with low token overlap (0%). May be synonymous phrasing — PDF preferred but human confirmation advised.","true","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","209","q_10cd1283","Seguridad vial","El conductor de un vehículo se aproxima a una glorieta, por lo que deja de acelerar antes de llegar. ¿Es correcto su comportamiento?","Sí, porque aprovecha la inercia del vehículo.","No, porque al dejar rodar el vehículo sin acelerar, aunque se reduce el consumo, aumentan los desgastes en la suspensión.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Answers contain opposing factual terms (e.g., verde/rojo, mayor/menor). One must be wrong — PDF is official source.","false","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","210","q_bef40217","Seguridad vial","El conductor de un vehículo se aproxima a una intersección regulada con un semáforo que se encuentra en rojo, por lo que deja de acelerar antes de llegar. ¿Es correcto su comportamiento?","Sí, porque aprovecha la inercia del vehículo.","No, porque al dejar rodar el vehículo sin acelerar, aunque se reduce el consumo, aumentan los desgastes en los frenos.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Answers contain opposing factual terms (e.g., verde/rojo, mayor/menor). One must be wrong — PDF is official source.","false","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","258","q_4c927332","Geral","Para ahorrar carburante, es conveniente:","observar el cuentarrevoluciones para saber en qué momento se debe cambiar de marcha.","saber seleccionar la relación de marchas más adecuada.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","HIGH","Very different answers (token overlap 8%). Pack answer likely wrong — PDF is authoritative source.","false","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","280","q_1da617e9","Carga y logística","Dependiendo de la presión que se ejerza sobre el pedal del acelerador, el conductor de un automóvil puede:","reducir el número de revoluciones del motor y, con ello, el consumo de carburante.","reducir el consumo de carburante.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Answers differ in phrasing (token overlap 43%). PDF answer is more complete/official — review to confirm.","true","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","290","q_bb80d114","Mecánica y mantenimiento","¿Cómo se utiliza adecuadamente el sistema de frenado?","Pisando el pedal de freno progresivamente.","Deteniendo el vehículo lo más rápido posible.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Short answers with low token overlap (0%). May be synonymous phrasing — PDF preferred but human confirmation advised.","true","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","307","q_764e46c6","Mecánica y mantenimiento","¿Qué puede ocurrir si los frenos no son capaces de evacuar todo el calor que producen?","Pierde capacidad de frenado.","Pierden eficacia.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Short answers with low token overlap (0%). May be synonymous phrasing — PDF preferred but human confirmation advised.","true","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","312","q_9d566615","Mecánica y mantenimiento","¿Dónde se encuentra situado el ralentizador hidrodinámico del tipo ""intárder""?","En el sistema de transmisión.","En la caja de velocidades.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Short answers with low token overlap (0%). May be synonymous phrasing — PDF preferred but human confirmation advised.","true","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","10","q_24c60192","Geral","¿Cuál de las siguientes afirmaciones es falsa?","Reducir el consumo del vehículo es ecológico, pero con ello no se ahorra dinero.","Para llegar a reducir el consumo, hemos de tener en cuenta el uso correcto del vehículo.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","NEEDS_EXPERT","LOW","Question asks to select from a list — pack may have had different option set. Cannot assume PDF answer maps to same option.","true","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","17","q_0c4601e6","Geral","¿Un uso correcto del vehículo puede llegar a reducir el consumo?","Sí.","Sólo en largos viajes.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Short answers with low token overlap (0%). May be synonymous phrasing — PDF preferred but human confirmation advised.","true","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","24","q_00a18d48","Mecánica y mantenimiento","Cuando la presión de un neumático es inferior a la normal, ¿cuál de las siguientes respuestas es correcta?","Se incrementa el consumo de carburante.","El vehículo gana estabilidad.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","NEEDS_EXPERT","LOW","Question asks to select from a list — pack may have had different option set. Cannot assume PDF answer maps to same option.","true","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","241","q_bd745390","Conducción racional","Para reducir el consumo de carburante de un vehículo pesado se deben conocer los factores que influyen en él. Entre estos factores se encuentra:","el perfil de la carretera, el número de revoluciones del motor y la relación de marchas seleccionada en la caja de velocidades.","el perfil de la carretera, el tipo de conducción que realice el conductor y el número de revoluciones del motor.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Answers differ in phrasing (token overlap 36%). PDF answer is more complete/official — review to confirm.","true","",""
"P1_EXACT_QUESTION_WRONG_ANSWER","243","q_2a3ae91f","Mecánica y mantenimiento","Para reducir el número de revoluciones por minuto del motor de combustión de un automóvil y, con ello, reducir el consumo de carburante, el conductor puede:","evitar, en lo posible, la utilización de relaciones de marchas cortas.","utilizar relaciones de marchas largas.","PDF_AUTOESCOLA_PRIMARY","prefer_pdf_answer_review_required","ACCEPT_PDF_ANSWER","MEDIUM","Answers differ in phrasing (token overlap 25%). PDF answer is more complete/official — review to confirm.","true","",""
