"pdfNumber","pdfQuestion","pdfAnswer","packId","packQuestion","packCorrect","similarity"
"29","¿Se produce la fuerza máxima de combustión al pisar el acelerador a fondo?","No, pues, aunque se inyecte la máxima cantidad de carburante, no hay suficiente aire ni tiempo para quemarlo.","q_1165a3f6","¿Se produce la fuerza máxima de combustión al pisar el acelerador a fondo?","No, pues aunque se inyecte la máxima cantida","1"
"36","La zona de máxima eficiencia del motor, zona económica…","está especificada en el cuentarrevoluciones, generalmente de color verde.","q_32a3b65c","La zona de máxima eficiencia del motor, zona económica,:","consiste en conducir económicamente.","0.9815"
"62","La potencia de un motor es…","el trabajo que es capaz de realizar en la unidad de tiempo.","q_d86d0947","La potencia de un motor:","es máxima a un régimen próximo al máximo de revoluciones.","0.8519"
"66","La potencia de un motor…","aumenta con las revoluciones de motor alcanzando la máxima potencia cuando el motor gira próximo al máximo.","q_d86d0947","La potencia de un motor:","es máxima a un régimen próximo al máximo de revoluciones.","0.9583"
"81","Cuando el motor funciona en la zona de régimen de par máximo…","se aprovecha mejor el combustible.","q_38a22c99","Cuando el motor funciona en la zona de par máximo:","el valor de la potencia está en un término medio, pero el consumo específico es el mínimo.","0.8033"
"107","¿Cuál de las siguientes técnicas indicadas es más correcta para optimizar el consumo de carburante?","Reducir el régimen de revoluciones.","q_e29a6f5b","¿Cuál de las siguientes técnicas indicadas es más correcta para optimizar el consumo de carburante?","Acelerar muy rápidamente para obtener una velocidad de crucero económica.","1"
"147","El número de revoluciones del motor, ¿influye en el consumo de carburante?","Sí, es menor cuanto menor es el número de revoluciones.","q_2423d266","El número de revoluciones por minuto del motor, ¿influye en el consumo de carburante?","Sí, porque a menor número de revoluciones por minuto el consumo es menor.","0.8659"
"148","El número de revoluciones del motor, ¿influye en el consumo de carburante?","Sí, es mayor cuanto mayor es el número de revoluciones.","q_2423d266","El número de revoluciones por minuto del motor, ¿influye en el consumo de carburante?","Sí, porque a menor número de revoluciones por minuto el consumo es menor.","0.8659"
"156","En el cuentarrevoluciones de un vehículo pesado existe una zona marcada, generalmente, de color verde, ¿qué supone circular con un número de revoluciones por encima de esa zona?","Un mayor consumo.","q_1716b834","En el cuentarrevoluciones de un vehículo pesado existe una zona marcada, generalmente, de color verde, ¿qué supone circular con un número de revoluciones por encima de esa zona?","Una menor cantidad de carburante inyectado.","1"
"157","En el cuentarrevoluciones de un vehículo pesado existe una zona marcada, generalmente, de color verde, ¿qué supone circular con un número de revoluciones por encima de esa zona?","Un mayor consumo.","q_1716b834","En el cuentarrevoluciones de un vehículo pesado existe una zona marcada, generalmente, de color verde, ¿qué supone circular con un número de revoluciones por encima de esa zona?","Una menor cantidad de carburante inyectado.","1"
