"priority","pdfIndex","packId","category","question","similarity","pdfQuestion","packQuestion","pdfAnswer","packAnswer","sourcePriority","recommendedAction","aiSuggestedDecision","aiConfidence","aiReason","humanNeedsReview","reviewerDecision","notes"
"P3_NEAR_EXACT_WRONG_ANSWER","36","q_32a3b65c","Mecánica y mantenimiento","La zona de máxima eficiencia del motor, zona económica…","0.9815","La zona de máxima eficiencia del motor, zona económica…","La zona de máxima eficiencia del motor, zona económica,:","está especificada en el cuentarrevoluciones, generalmente de color verde.","consiste en conducir económicamente.","MANUAL_VARIANT_REVIEW","manual_review_variant","ACCEPT_PDF_ANSWER","MEDIUM","Answers are unrelated (overlap 0%) despite near-identical questions (sim=0.9815). PDF answer preferred — human review required due to question wording difference.","true","",""
"P3_NEAR_EXACT_WRONG_ANSWER","65","q_7e027283","Mecánica y mantenimiento","¿Cuál de los siguientes elementos del vehículo forma parte del retardador hidráulico?","0.9651","¿Cuál de los siguientes elementos del vehículo forma parte del retardador hidráulico?","¿Cuál de los siguientes elementos del vehículo no forma parte del retardador hidráulico?","El estátor fijo.","El calderín.","MANUAL_VARIANT_REVIEW","manual_review_variant","ACCEPT_PDF_ANSWER","MEDIUM","Pack answer appears incomplete (11 chars vs PDF 15 chars). PDF preferred — confirm wording difference is minor.","true","",""
"P3_NEAR_EXACT_WRONG_ANSWER","295","q_347029d1","Conducción racional","¿Cuál de estos factores afecta más al ahorro de combustible?","0.9831","¿Cuál de estos factores afecta más al ahorro de combustible?","¿Cuál de estos factores afectan más al ahorro de combustible?","La elección de la relación de marchas correcta durante la circulación.","La marca del fabricante de la carrocería.","MANUAL_VARIANT_REVIEW","manual_review_variant","ACCEPT_PDF_ANSWER","MEDIUM","Answers are unrelated (overlap 0%) despite near-identical questions (sim=0.9831). PDF answer preferred — human review required due to question wording difference.","true","",""
"P3_NEAR_EXACT_WRONG_ANSWER","6","q_a54ebeda","Normativa de transportes","¿Cómo pueden demostrar los conductores profesionales de otros países, que efectúen transportes en España, que cumplen los requisitos de formación y cualificación exigidos por la normativa?","0.9733","¿Cómo pueden demostrar los conductores profesionales de otros países, que efectúen transportes en España, que cumplen los requisitos de formación y cualificación exigidos por la normativa?","¿Cómo pueden demostrar los conductores profesionales de terceros países que efectúen transportes en España que cumplen los requisitos de formación y cualificación exigidos por la normativa?","• Con el permiso de conducción de modelo comunitario que lleve el código armonizado correspondiente inscrito en él. • Con la tarjeta de cualificación del conductor, en la que constará el código comunitario correspondiente. • Con el certificado de conductor de terceros países previsto en el Reglamento (CE) 1072/2009, si incluye el código correspondiente. • Todas las respuestas anteriores son correctas.","Con el permiso de conducción de modelo comunitario, con el código comunitario inscrito en él.","MANUAL_VARIANT_REVIEW","manual_review_variant","ACCEPT_PDF_ANSWER","MEDIUM","Pack answer appears incomplete (91 chars vs PDF 395 chars). PDF preferred — confirm wording difference is minor.","true","",""
"P3_NEAR_EXACT_WRONG_ANSWER","45","q_eba7fa9c","Tacógrafo y tiempos","La descarga de datos de las tarjetas de tacógrafo de los conductores deberá hacerse, al menos:","0.9892","La descarga de datos de las tarjetas de tacógrafo de los conductores deberá hacerse, al menos:","La descarga de datos de las tarjetas de tacógrafos de los conductores deberá hacerse, al menos,:","cada 28 días con actividad registrada.","cada 31 días.","MANUAL_VARIANT_REVIEW","manual_review_variant","ACCEPT_PDF_ANSWER","MEDIUM","Pack answer appears incomplete (12 chars vs PDF 37 chars). PDF preferred — confirm wording difference is minor.","true","",""
"P3_NEAR_EXACT_WRONG_ANSWER","163","q_2ee8548d","Tacógrafo y tiempos","¿Cuál de los siguientes vehículos está exento del uso de tacógrafo?","0.9848","¿Cuál de los siguientes vehículos está exento del uso de tacógrafo?","¿Cuál de los siguientes vehículos está exento del uso del tacógrafo?","Un autocar dedicado exclusivamente a la donación de sangre.","Vehículos cuya velocidad máxima no supere los 40 km/h.","MANUAL_VARIANT_REVIEW","manual_review_variant","ACCEPT_PDF_ANSWER","MEDIUM","Answers are unrelated (overlap 0%) despite near-identical questions (sim=0.9848). PDF answer preferred — human review required due to question wording difference.","true","",""
"P3_NEAR_EXACT_WRONG_ANSWER","260","q_c1d0f4f6","Tacógrafo y tiempos","Según la reglamentación social europea, ¿puede un conductor iniciar un descanso semanal 5 días después del fin del anterior descanso semanal?","0.9928","Según la reglamentación social europea, ¿puede un conductor iniciar un descanso semanal 5 días después del fin del anterior descanso semanal?","Según la reglamentación social europea, ¿puede un conductor iniciar un descanso semanal 7 días después del fin del anterior descanso semanal?","Sí.","No, puesto que debería iniciarlo antes de concluir el sexto día.","MANUAL_VARIANT_REVIEW","manual_review_variant","ACCEPT_PDF_ANSWER","MEDIUM","Opposing factual terms detected. Near-identical question but answer polarity inverted — likely pack error, but wording difference warrants review.","true","",""
"P3_NEAR_EXACT_WRONG_ANSWER","510","q_b8850097","Documentación","¿En qué plazo máximo deben superar el examen para la obtención del CAP los conductores que hayan realizado la formación inicial?","0.9841","¿En qué plazo máximo deben superar el examen para la obtención del CAP los conductores que hayan realizado la formación inicial?","¿En qué plazo máximo deben superar el examen para la obtención del CAP los conductor que hayan realizado la formación inicial?","1 año.","6 meses.","MANUAL_VARIANT_REVIEW","manual_review_variant","ACCEPT_PDF_ANSWER","MEDIUM","Pack answer appears incomplete (7 chars vs PDF 5 chars). PDF preferred — confirm wording difference is minor.","true","",""
"P3_NEAR_EXACT_WRONG_ANSWER","527","q_3978d89a","Tacógrafo y tiempos","¿Cuántos modos de funcionamiento tiene un tacógrafo digital?","0.9655","¿Cuántos modos de funcionamiento tiene un tacógrafo digital?","¿Cuántos modos de funcionamiento tiene el tacógrafo digital?","Cuatro.","Cuatro: operativo, de control, de calibrado y de empresa.","MANUAL_VARIANT_REVIEW","manual_review_variant","NEEDS_EXPERT","LOW","Near-identical question (sim=0.9655) with different but related answers (overlap 20%). Could be legitimate variant — requires subject-matter expert review.","true","",""
"P3_NEAR_EXACT_WRONG_ANSWER","1","q_c3025930","Seguridad vial","¿A quién causan un perjuicio económico los accidentes laborales?","0.9839","¿A quién causan un perjuicio económico los accidentes laborales?","¿A quién causa un perjuicio económico los accidentes laborales?","• Al trabajador. • A la empresa del trabajador. • Al conjunto de la sociedad. • Todas las respuestas anteriores son correctas.","Al trabajador.","MANUAL_VARIANT_REVIEW","manual_review_variant","ACCEPT_PDF_ANSWER","MEDIUM","Pack answer appears incomplete (13 chars vs PDF 122 chars). PDF preferred — confirm wording difference is minor.","true","",""
"P3_NEAR_EXACT_WRONG_ANSWER","16","q_9fcb2fee","Salud y ergonomía","La fatiga y el estrés en la actividad de transporte se produce por:","0.9851","La fatiga y el estrés en la actividad de transporte se produce por:","La fatiga y el estrés en la actividad del transporte se produce por:","• la prolongación de la jornada. • circunstancias del tráfico. • la responsabilidad añadida como consecuencia del objeto transportado. • Todas las respuestas anteriores son correctas.","la prolongación de la jornada.","MANUAL_VARIANT_REVIEW","manual_review_variant","ACCEPT_PDF_ANSWER","MEDIUM","Pack answer appears incomplete (29 chars vs PDF 179 chars). PDF preferred — confirm wording difference is minor.","true","",""
"P3_NEAR_EXACT_WRONG_ANSWER","22","q_e036b563","Geral","Las lesiones derivadas de un sobreesfuerzo en el trabajo pueden ser producidas","0.9512","Las lesiones derivadas de un sobreesfuerzo en el trabajo pueden ser producidas","Las lesiones derivadas de un sobreesfuerzo en el trabajo pueden ser producidas por:","por: • movimientos repetitivos. • posturas de trabajo incorrectas. • manipulación inadecuada de la carga. • Todas las respuestas anteriores son correctas.","movimientos repetitivos.","MANUAL_VARIANT_REVIEW","manual_review_variant","ACCEPT_PDF_ANSWER","MEDIUM","Pack answer appears incomplete (23 chars vs PDF 149 chars). PDF preferred — confirm wording difference is minor.","true","",""
"P3_NEAR_EXACT_WRONG_ANSWER","35","q_a68cced2","Seguridad vial","El transporte por carretera es una actividad productiva caracterizada por el","0.9605","El transporte por carretera es una actividad productiva caracterizada por el","El transporte por carretera es una actividad productiva caracterizada por:","trabajo: • a ritmos acelerados. • sometido a excesos de responsabilidad. • Las respuestas A y C son correctas.","ser un trabajo a ritmos acelerados.","MANUAL_VARIANT_REVIEW","manual_review_variant","ACCEPT_PDF_ANSWER","MEDIUM","Pack answer appears incomplete (34 chars vs PDF 106 chars). PDF preferred — confirm wording difference is minor.","true","",""
"P3_NEAR_EXACT_WRONG_ANSWER","147","q_94c7e4a3","Seguridad vial","¿Cuáles de los siguientes tipos de accidente es frecuente que afecte a los trabajadores de empresas de transporte?","0.9912","¿Cuáles de los siguientes tipos de accidente es frecuente que afecte a los trabajadores de empresas de transporte?","¿Cuáles de los siguientes tipos de accidente es frecuente que afecten a los trabajadores de empresas de transporte?","• Caída de personas a distinto nivel. • Atropellos por vehículos y maquinaria auxiliar. • Exposición continuada a vibraciones. • Todas las respuestas anteriores son correctas.","Caída de personas a distinto nivel.","MANUAL_VARIANT_REVIEW","manual_review_variant","ACCEPT_PDF_ANSWER","MEDIUM","Pack answer appears incomplete (34 chars vs PDF 171 chars). PDF preferred — confirm wording difference is minor.","true","",""
"P3_NEAR_EXACT_WRONG_ANSWER","157","q_04471f99","Seguridad vial","¿Cuáles de los siguientes son accidentes con forma no traumática?","0.9692","¿Cuáles de los siguientes son accidentes con forma no traumática?","¿Cuáles de los siguientes son accidentes con formas no traumáticas?","• Los infartos. • Los derrames cerebrales. • Las respuestas A y B son correctas.","Los infartos.","MANUAL_VARIANT_REVIEW","manual_review_variant","ACCEPT_PDF_ANSWER","MEDIUM","Pack answer appears incomplete (12 chars vs PDF 77 chars). PDF preferred — confirm wording difference is minor.","true","",""
"P3_NEAR_EXACT_WRONG_ANSWER","282","q_4735971c","Salud y ergonomía","¿Qué son las enfermedades profesionales?","0.9744","¿Qué son las enfermedades profesionales?","¿Qué son las ""enfermedades profesionales?","Las contraídas a consecuencia de un trabajo ejecutado en las actividades especificadas en el cuadro que, a tal efecto, se apruebe.","Las contraídas a consecuencia del trabajo.","MANUAL_VARIANT_REVIEW","manual_review_variant","ACCEPT_PDF_ANSWER","MEDIUM","Pack answer appears incomplete (41 chars vs PDF 127 chars). PDF preferred — confirm wording difference is minor.","true","",""
"P3_NEAR_EXACT_WRONG_ANSWER","66","q_0c45de73","Geral","¿Cuál de los siguientes países no pertenece al denominado ""Espacio Schengen""?","0.9589","¿Cuál de los siguientes países no pertenece al denominado ""Espacio Schengen""?","¿Cuál de los siguientes países pertenece al denominado ""Espacio Schengen""?","Marruecos.","Portugal.","MANUAL_VARIANT_REVIEW","manual_review_variant","ACCEPT_PDF_ANSWER","MEDIUM","Pack answer appears incomplete (8 chars vs PDF 9 chars). PDF preferred — confirm wording difference is minor.","true","",""
"P3_NEAR_EXACT_WRONG_ANSWER","31","q_3c6ce90f","Geral","Cuando los equipos de protección individual superen los controles estipulados, se deberá estampar sobre el producto…","0.9913","Cuando los equipos de protección individual superen los controles estipulados, se deberá estampar sobre el producto…","Cuando los equipos de protección individual superen los controles estipulados, se deberá estampar sobre el producto:","el marcado CE que, en el caso de los equipos de categoría III, irá seguido del número de identificación del organismo notificado que haya participado en el procedimiento de evaluación de la conformidad.","las siglas ""CE"", que irán seguidas de un número de cuatro dígitos en el caso de los equipos de categoría III.","MANUAL_VARIANT_REVIEW","manual_review_variant","NEEDS_EXPERT","LOW","Near-identical question (sim=0.9913) with different but related answers (overlap 21%). Could be legitimate variant — requires subject-matter expert review.","true","",""
"P3_NEAR_EXACT_WRONG_ANSWER","64","q_76682f29","Salud y ergonomía","Durante viajes largos y sobre todo por la noche, ¿qué bebida no es aconsejable tomar?","0.9634","Durante viajes largos y sobre todo por la noche, ¿qué bebida no es aconsejable tomar?","Durante viajes largos y sobre todo por la noche, ¿qué bebida es aconsejable tomar?","Leche caliente.","Zumos.","MANUAL_VARIANT_REVIEW","manual_review_variant","ACCEPT_PDF_ANSWER","MEDIUM","Pack answer appears incomplete (5 chars vs PDF 14 chars). PDF preferred — confirm wording difference is minor.","true","",""
"P3_NEAR_EXACT_WRONG_ANSWER","17","q_fa3e9e7a","Normativa de transportes","Según la normativa española, en las inspecciones llevadas a cabo en carretera, ¿quién tendrá la consideración de representante de la empresa en relación con la documentación relativa al transporte que existe obligación de llevar a bordo del vehículo?","0.9919","Según la normativa española, en las inspecciones llevadas a cabo en carretera, ¿quién tendrá la consideración de representante de la empresa en relación con la documentación relativa al transporte que existe obligación de llevar a bordo del vehículo?","Según la normativa española, en las inspecciones llevadas a cabo en carretera, ¿quién tendrá la consideración de representante de la empresa en relación con la documentación relativa al transporte y que existe obligación de llevar a bordo del vehículo?","El conductor.","El empresario.","MANUAL_VARIANT_REVIEW","manual_review_variant","ACCEPT_PDF_ANSWER","MEDIUM","Pack answer appears incomplete (13 chars vs PDF 12 chars). PDF preferred — confirm wording difference is minor.","true","",""
"P3_NEAR_EXACT_WRONG_ANSWER","22","q_c491bdcb","Seguridad vial","¿En qué consiste la conducción preventiva?","0.9512","¿En qué consiste la conducción preventiva?","¿En qué consiste una conducción preventiva?","En ser consciente de los riesgos y anticiparse a posibles situaciones de peligro.","El aprendizaje necesario hasta obtener el carné de conducir.","MANUAL_VARIANT_REVIEW","manual_review_variant","ACCEPT_PDF_ANSWER","MEDIUM","Answers are unrelated (overlap 0%) despite near-identical questions (sim=0.9512). PDF answer preferred — human review required due to question wording difference.","true","",""
