"pdfNumber","pdfQuestion","pdfAnswer"
"1","¿A cuántos caballos de vapor (CV) equivale un kilovatio (kW)?","1 kW = 1,36 CV."
"22","En el ámbito de la física dinámica, ¿qué es un ""par""?","La fuerza que desarrolla un mecanismo en rotación o la fuerza que hay que hacer para hacerlo girar."
"23","¿Qué es el consumo específico de un motor?","La forma de medir la cantidad de carburante que gasta el motor en relación a la potencia desarrollada."
"24","¿Qué es el consumo específico en un motor?","La cantidad de carburante necesaria para producir una unidad de potencia en una unidad de tiempo."
"25","Teniendo en cuenta la acción que produce el grupo cónico, ¿qué es mayor, el par en rueda o el par motor?","Siempre es mayor el par en rueda."
"46","Para que el motor entregue una cierta potencia, ¿puede haber varias combinaciones posibles de velocidades y posiciones del acelerador o existe solo una combinación posible?","Para que un motor entregue una cierta potencia, existen varias combinaciones en la caja de velocidades y posiciones del pedal acelerador, aunque con diferentes consumos cada una de ellas."
"47","Para un par motor dado, ¿de qué depende el par que llega a las ruedas?","De la relación de transmisión entre el volante motor y las ruedas."
"48","¿Qué elemento del motor transforma el movimiento lineal alternativo del pistón en movimiento giratorio?","El cigüeñal."
"49","El cigüeñal transforma…","el movimiento lineal alternativo del pistón en movimiento giratorio."
"50","Cuanto mayor sea la desmultiplicación que se produzca en la caja de velocidades…","mayor fuerza transmitirá el motor a las ruedas motrices."
"51","Cuanto menor sea la desmultiplicación que se produzca en la caja de velocidades…","menor fuerza transmitirá el motor a las ruedas motrices."
"52","¿Qué es el par motor?","Es el esfuerzo que transmite el pistón sobre el cigüeñal."
"53","El par mínimo de un motor se produce…","A al ralentí."
"54","Cuando un motor se encuentra a ralentí, el par motor…","será mínimo."
"55","Al régimen máximo de revoluciones de un motor, el par motor será…","superior al mínimo, pero inferior al máximo."
"56","En un motor de combustión, el par motor máximo se consigue…","cuando el motor gira a un régimen medio de revoluciones."
"57","En un mismo motor, ¿puede variar el par motor?","Sí, porque a un régimen medio de revoluciones se alcanza el mayor par motor."
"58","Cuando en un motor el par motor máximo se consigue durante un margen amplio de revoluciones, se dice que es un motor…","elástico."
"59","Se dice que un motor es elástico…","cuando se consigue el máximo par motor durante un margen amplio de revoluciones."
"60","¿Por qué motivo a un número alto de revoluciones de un motor no se consigue el par motor máximo?","Porque hay muy poco tiempo para el llenado del cilindro."
"61","Cuando un motor de combustión gira a altas revoluciones…","hay muy poco tiempo para que se queme el carburante."
"63","La potencia de un motor se mide…","en caballos de vapor."
"64","La potencia de un motor se mide…","en kilovatios."
"65","La máxima potencia de un motor se consigue…","a un número de revoluciones próximo al máximo."
"67","¿Cuál es el factor que más influye en la potencia de un motor?","El número de revoluciones."
"68","¿Qué factor es el que más influye en la potencia de un motor?","El número de revoluciones."
"69","La potencia de un motor, ¿depende de su cilindrada?","Sí, a mayor cilindrada, mayor potencia."
"70","Circular con un automóvil haciendo uso de su máxima potencia, ¿es una buena medida para ahorrar combustible?","No, porque se circularía a un régimen alto de revoluciones, aumentando el consumo de carburante."
"71","Cuanto mayor sea la cilindrada de un motor…","mayor será su potencia."
"72","Cuando se habla de ""par en rueda"" se hace referencia al esfuerzo de giro:","que llega a las ruedas motrices."
