"pdfNumber","pdfQuestion","similarity","packId","packQuestion","packCategory","answerStatus","pdfAnswer","packCorrect"
"3","¿A qué equivale la potencia de un motor, es decir, a qué equivale la cantidad de trabajo que desarrolla el motor por unidad de tiempo?","0.9621","q_667bd9d5","¿A qué equivale la potencia de un motor,  es decir, a qué equivale la cantidad de trabajo que desarrolla el motor en la unidad de tiempo?","Mecánica y mantenimiento","ANSWER_MATCH","Al par desarrollado por el motor multiplicado por el número de revoluciones a las que gira el mismo.","Al par desarrollado por el motor multiplicado por el número de revoluciones a las que gira el mismo."
"12","El par motor se produce…","0.9583","q_74992de7","El par motor se produce:","Mecánica y mantenimiento","ANSWER_MATCH","debido a la fuerza de expansión de los gases quemados en el motor que se transforma en giro del cigüeñal.","debido a una fuerza de expansión de los gases quemados en el motor que se transforma en giro del cigüeñal."
"35","La utilización adecuada de la caja de velocidades…","0.98","q_4adaabd9","La utilización adecuada de la caja de velocidades:","Seguridad vial","ANSWER_MATCH","debe permitir que el motor gire siempre dentro de la zona económica.","debe permitir que el motor gire siempre dentro de la zona económica."
"36","La zona de máxima eficiencia del motor, zona económica…","0.9815","q_32a3b65c","La zona de máxima eficiencia del motor, zona económica,:","Mecánica y mantenimiento","ANSWER_CONFLICT","está especificada en el cuentarrevoluciones, generalmente de color verde.","consiste en conducir económicamente."
"37","Cuando se conduce en la zona del cuentarrevoluciones donde se produce el máximo par motor…","0.9889","q_fcf5af03","Cuando se conduce en la zona del cuentarrevoluciones, donde se produce el máximo par motor:","Mecánica y mantenimiento","ANSWER_MATCH","se aprovecha mejor el carburante.","se aprovecha mejor el carburante."
"38","Cuanto mayor es el régimen de giro del motor…","0.9778","q_c18cff19","Cuanto mayor es el régimen de giro del motor:","Mecánica y mantenimiento","ANSWER_MATCH","mayor será el consumo.","mayor será el consumo."
"39","Cuanto menor es el régimen de giro del motor…","0.9778","q_6f21fb5e","Cuanto menor es el régimen de giro del motor:","Mecánica y mantenimiento","ANSWER_MATCH","menores serán las pérdidas por fricción entre las piezas del motor, lo que se traducirá en un menor consumo.","menores serán las pérdidas por fricción entre las piezas del motor, lo que se traducirá en un menor consumo."
"41","El consumo de carburante…","0.96","q_425a74c8","El consumo de carburante:","Conducción racional","ANSWER_MATCH","aumenta a elevado número de revoluciones.","aumenta a elevado número de revoluciones."
"42","El consumo de carburante de un vehículo se suele medir en…","0.9828","q_cb3675f5","El consumo de carburante de un vehículo se suele medir en:","Conducción racional","ANSWER_MATCH","litros consumidos cada 100 kilómetros recorridos.","litros consumidos cada 100 kilómetros recorridos."
"43","El consumo específico en un vehículo representa la cantidad…","0.9833","q_2bb5092e","El consumo específico en un vehículo representa la cantidad:","Geral","ANSWER_MATCH","de carburante necesaria para producir una unidad de potencia en una unidad de tiempo.","de carburante necesaria para producir una unidad de potencia en una unidad de tiempo."
"44","El par máximo representa el máximo esfuerzo que se puede obtener…","0.9846","q_8edd1103","El par máximo representa el máximo esfuerzo que se puede obtener:","Conducción racional","ANSWER_MATCH","del motor a un régimen de giro dado.","del motor a un régimen de giro dado."
"62","La potencia de un motor es…","0.8519","q_d86d0947","La potencia de un motor:","Mecánica y mantenimiento","ANSWER_CONFLICT","el trabajo que es capaz de realizar en la unidad de tiempo.","es máxima a un régimen próximo al máximo de revoluciones."
"66","La potencia de un motor…","0.9583","q_d86d0947","La potencia de un motor:","Mecánica y mantenimiento","ANSWER_CONFLICT","aumenta con las revoluciones de motor alcanzando la máxima potencia cuando el motor gira próximo al máximo.","es máxima a un régimen próximo al máximo de revoluciones."
"81","Cuando el motor funciona en la zona de régimen de par máximo…","0.8033","q_38a22c99","Cuando el motor funciona en la zona de par máximo:","Conducción racional","ANSWER_CONFLICT","se aprovecha mejor el combustible.","el valor de la potencia está en un término medio, pero el consumo específico es el mínimo."
"104","Los motores diésel de inyección indirecta tienen un consumo específico:","0.9714","q_678fcd2f","Los motores diésel de inyección directa tienen un consumo específico:","Mecánica y mantenimiento","ANSWER_MATCH","mayor que los de inyección directa.","menor que los de inyección indirecta."
"147","El número de revoluciones del motor, ¿influye en el consumo de carburante?","0.8659","q_2423d266","El número de revoluciones por minuto del motor, ¿influye en el consumo de carburante?","Mecánica y mantenimiento","ANSWER_CONFLICT","Sí, es menor cuanto menor es el número de revoluciones.","Sí, porque a menor número de revoluciones por minuto el consumo es menor."
"148","El número de revoluciones del motor, ¿influye en el consumo de carburante?","0.8659","q_2423d266","El número de revoluciones por minuto del motor, ¿influye en el consumo de carburante?","Mecánica y mantenimiento","ANSWER_CONFLICT","Sí, es mayor cuanto mayor es el número de revoluciones.","Sí, porque a menor número de revoluciones por minuto el consumo es menor."
"165","¿Qué debe hacer el conductor en una pendiente ascendente o rampa cuando el motor del vehículo no aumenta sus revoluciones, aunque pise más el pedal acelerador?","0.9167","q_fd408a8e","¿Qué debe hacer en una pendiente ascendente o rampa cuando el motor del vehículo no aumenta sus revoluciones aunque pise más el pedal acelerador?","Mecánica y mantenimiento","ANSWER_MATCH","Poner una relación de marchas más corta.","Poner una relación de marchas más corta."
"173","En el cuentarrevoluciones de un vehículo pesado, la zona económica suele estar marcada de color verde. Cuando se circule en llano, es conveniente que la aguja del cuentarrevoluciones se encuentre…","0.9948","q_92c47075","En el cuentarrevoluciones de un vehículo pesado, la zona económica suele estar marcada de color verde. Cuando se circule en llano, es conveniente que la aguja del cuentarrevoluciones se encuentre:","Mecánica y mantenimiento","ANSWER_MATCH","en la zona izquierda de la zona económica.","en la zona izquierda de la zona económica."
"174","En el cuentarrevoluciones de un vehículo pesado, la zona económica suele estar marcada de color verde. Cuando se circule en una pendiente ascendente, es conveniente que la aguja del cuentarrevoluciones se encuentre…","0.9953","q_6c371757","En el cuentarrevoluciones de un vehículo pesado, la zona económica suele estar marcada de color verde. Cuando se circule en una pendiente ascendente, es conveniente que la aguja del cuentarrevoluciones se encuentre:","Mecánica y mantenimiento","NEEDS_REVIEW","en la derecha de la zona económica.","en la zona izquierda de la zona económica."
"218","La potencia de un motor…","0.9583","q_d86d0947","La potencia de un motor:","Mecánica y mantenimiento","ANSWER_MATCH","es máxima a un régimen próximo al máximo de revoluciones.","es máxima a un régimen próximo al máximo de revoluciones."
"220","La potencia de un motor…","0.9583","q_d86d0947","La potencia de un motor:","Mecánica y mantenimiento","ANSWER_CONFLICT","aumenta al aumentar las revoluciones por minuto del motor.","es máxima a un régimen próximo al máximo de revoluciones."
"2","El motor actúa como freno…","0.9615","q_c042e2c4","El motor actúa como freno:","Mecánica y mantenimiento","ANSWER_MATCH","dejando de acelerar o seleccionando una relación de marcha más corta.","dejando de acelerar o seleccionando una relación de marcha más corta."
"21","Al accionar el freno de estacionamiento en un vehículo dotado de sistema neumático de frenos…","0.8925","q_59c49c25","Al accionar el freno de estacionamiento en un automóvil dotado de sistema neumático de frenos:","Mecánica y mantenimiento","ANSWER_MATCH","no es conveniente que los frenos se encuentren calientes.","no es conveniente que los frenos se encuentren calientes."
"22","Al estar en movimiento, el vehículo lleva asociada una energía, llamada inercia dinámica, que está en función de…","0.9909","q_965fd0f4","Al estar en movimiento, el vehículo lleva asociada una energía, llamada inercia dinámica, que está en función de:","Conducción racional","ANSWER_MATCH","su masa y velocidad.","su masa y velocidad."
"24","La eficacia del ralentizador eléctrico aumenta si aumenta…","0.9828","q_3be2b592","La eficacia del ralentizador eléctrico aumenta si aumenta:","Mecánica y mantenimiento","ANSWER_CONFLICT","la cantidad de electricidad suministrada por la batería.","la cantida"
"25","La elección de la relación de marcha correcta durante la circulación depende…","0.987","q_4ea05569","La elección de la relación de marcha correcta durante la circulación depende:","Seguridad vial","ANSWER_MATCH","de la velocidad y masa del vehículo.","de la velocidad y masa del vehículo."
"26","La energía que lleva asociada un vehículo al estar en movimiento…","0.9846","q_efc765a8","La energía que lleva asociada un vehículo al estar en movimiento:","Conducción racional","NEEDS_REVIEW","depende de la masa y velocidad del vehículo.","depende de la masa y velocida"
"29","La utilización del motor como freno requiere…","0.9778","q_99e9c2f6","La utilización del motor como freno requiere:","Mecánica y mantenimiento","ANSWER_MATCH","no inyectar carburante.","no inyectar carburante."
"33","El consumo de carburante…","0.96","q_425a74c8","El consumo de carburante:","Conducción racional","ANSWER_CONFLICT","aumenta con marchas cortas.","aumenta a elevado número de revoluciones."
"34","El sistema de frenos ABS (antiblock brake system) mide, mediante unos sensores instalados en las ruedas…","0.9901","q_6dd5b85e","El sistema de frenos ABS (antiblock brake system) mide, mediante unos sensores instalados en las ruedas,:","Mecánica y mantenimiento","ANSWER_MATCH","la velocidad de giro de las ruedas durante la frenada.","la velocidad de giro de las ruedas durante la frenada."
"47","Si el freno de un vehículo es incapaz de evacuar el calor que genera:","0.8088","q_00c929b9","Si el freno de un vehículo no evacua el calor que genera:","Mecánica y mantenimiento","ANSWER_MATCH","puede perder eficacia e incluso dejar de funcionar.","puede perder eficacia e incluso dejar de funcionar."
"65","¿Cuál de los siguientes elementos del vehículo forma parte del retardador hidráulico?","0.9651","q_7e027283","¿Cuál de los siguientes elementos del vehículo no forma parte del retardador hidráulico?","Mecánica y mantenimiento","ANSWER_CONFLICT","El estátor fijo.","El calderín."
"66","¿Cuál de los siguientes elementos no es un tipo de ralentizador?","0.9516","q_189169f2","¿Cuál de los siguientes elementos es un tipo de ralentizador?","Mecánica y mantenimiento","ANSWER_CONFLICT","El calderín de frenado.","El freno en el escape."
"67","¿Cuál de los siguientes elementos no es un tipo de ralentizador?","0.9516","q_189169f2","¿Cuál de los siguientes elementos es un tipo de ralentizador?","Mecánica y mantenimiento","ANSWER_CONFLICT","El ralentizador termodinámico.","El freno en el escape."
"91","La energía que lleva asociada un vehículo en movimiento…","0.8438","q_efc765a8","La energía que lleva asociada un vehículo al estar en movimiento:","Conducción racional","ANSWER_CONFLICT","se puede aprovechar dejando de acelerar.","depende de la masa y velocida"
"116","Cuando se habla de ralentizadores se está haciendo referencia:","0.8033","q_ac6bc275","Cuando se habla del efecto ""fading"" se está haciendo referencia:","Geral","ANSWER_CONFLICT","al freno eléctrico, por ejemplo.","a la pérdida de frenada por calentamiento de frenos."
"117","Cuando se habla de ralentizadores se está haciendo referencia:","0.8033","q_ac6bc275","Cuando se habla del efecto ""fading"" se está haciendo referencia:","Geral","ANSWER_CONFLICT","al retárder, por ejemplo.","a la pérdida de frenada por calentamiento de frenos."
"129","La energía que lleva asociada un vehículo al estar en movimiento depende:","0.8889","q_efc765a8","La energía que lleva asociada un vehículo al estar en movimiento:","Conducción racional","ANSWER_CONFLICT","del cuadrado de su velocidad.","depende de la masa y velocida"
"160","Existe un tipo de ralentizador llamado ""hidrodinámico"" que puede ser de dos tipos:","0.8228","q_78001f57","Existe un tipo de ralentizador llamado ""freno motor"" que puede ser dos tipos:","Mecánica y mantenimiento","ANSWER_CONFLICT","retárder o intárder.","freno en el escape o freno motor Veb."
"184","¿Cómo se llama a la energía que tiene un vehículo en movimiento?","0.8286","q_c0e18443","¿Cómo se llama la energía que tiene un vehículo por estar en movimiento?","Conducción racional","ANSWER_MATCH","Energía cinética.","Energía cinética."
"213","Si la calzada está mojada y se pisa fuertemente el pedal del freno, ¿el sistema antibloqueo de frenos (ABS) evita el bloqueo de la rueda?","0.8951","q_63c249f8","Si la calzada está cubierta de nieve y se pisa fuertemente el pedal del freno, el sistema antibloqueo de frenos (ABS), ¿evita el bloqueo de la rueda?","Mecánica y mantenimiento","ANSWER_CONFLICT","Sí.","Sí, aunque la calzada tenga hielo."
