"pdfNumber","pdfQuestion","similarity","packId","packQuestion","pdfAnswer","packAnswer","conflictType","conflictReason"
"29","¿Se produce la fuerza máxima de combustión al pisar el acelerador a fondo?","1","q_1165a3f6","¿Se produce la fuerza máxima de combustión al pisar el acelerador a fondo?","No, pues, aunque se inyecte la máxima cantidad de carburante, no hay suficiente aire ni tiempo para quemarlo.","No, pues aunque se inyecte la máxima cantida","PACK_ANSWER_TRUNCATED","pack_len=43_pdf_len=105"
"36","La zona de máxima eficiencia del motor, zona económica…","0.9815","q_32a3b65c","La zona de máxima eficiencia del motor, zona económica,:","está especificada en el cuentarrevoluciones, generalmente de color verde.","consiste en conducir económicamente.","REAL_ANSWER_CONFLICT","q_sim=0.9815_ans_sim=0.25"
"62","La potencia de un motor es…","0.8519","q_d86d0947","La potencia de un motor:","el trabajo que es capaz de realizar en la unidad de tiempo.","es máxima a un régimen próximo al máximo de revoluciones.","WRONG_MATCH_VARIANT","packId_shared_by_3_pdf_questions"
"66","La potencia de un motor…","0.9583","q_d86d0947","La potencia de un motor:","aumenta con las revoluciones de motor alcanzando la máxima potencia cuando el motor gira próximo al máximo.","es máxima a un régimen próximo al máximo de revoluciones.","WRONG_MATCH_VARIANT","packId_shared_by_3_pdf_questions"
"81","Cuando el motor funciona en la zona de régimen de par máximo…","0.8033","q_38a22c99","Cuando el motor funciona en la zona de par máximo:","se aprovecha mejor el combustible.","el valor de la potencia está en un término medio, pero el consumo específico es el mínimo.","NEEDS_REVIEW","q_sim=0.8033_ans_sim=0.25"
"107","¿Cuál de las siguientes técnicas indicadas es más correcta para optimizar el consumo de carburante?","1","q_e29a6f5b","¿Cuál de las siguientes técnicas indicadas es más correcta para optimizar el consumo de carburante?","Reducir el régimen de revoluciones.","Acelerar muy rápidamente para obtener una velocidad de crucero económica.","WRONG_MATCH_VARIANT","packId_shared_by_4_pdf_questions"
"147","El número de revoluciones del motor, ¿influye en el consumo de carburante?","0.8659","q_2423d266","El número de revoluciones por minuto del motor, ¿influye en el consumo de carburante?","Sí, es menor cuanto menor es el número de revoluciones.","Sí, porque a menor número de revoluciones por minuto el consumo es menor.","WRONG_MATCH_VARIANT","packId_shared_by_3_pdf_questions"
"148","El número de revoluciones del motor, ¿influye en el consumo de carburante?","0.8659","q_2423d266","El número de revoluciones por minuto del motor, ¿influye en el consumo de carburante?","Sí, es mayor cuanto mayor es el número de revoluciones.","Sí, porque a menor número de revoluciones por minuto el consumo es menor.","WRONG_MATCH_VARIANT","packId_shared_by_3_pdf_questions"
"156","En el cuentarrevoluciones de un vehículo pesado existe una zona marcada, generalmente, de color verde, ¿qué supone circular con un número de revoluciones por encima de esa zona?","1","q_1716b834","En el cuentarrevoluciones de un vehículo pesado existe una zona marcada, generalmente, de color verde, ¿qué supone circular con un número de revoluciones por encima de esa zona?","Un mayor consumo.","Una menor cantidad de carburante inyectado.","WRONG_MATCH_VARIANT","packId_shared_by_5_pdf_questions"
"157","En el cuentarrevoluciones de un vehículo pesado existe una zona marcada, generalmente, de color verde, ¿qué supone circular con un número de revoluciones por encima de esa zona?","1","q_1716b834","En el cuentarrevoluciones de un vehículo pesado existe una zona marcada, generalmente, de color verde, ¿qué supone circular con un número de revoluciones por encima de esa zona?","Un mayor consumo.","Una menor cantidad de carburante inyectado.","WRONG_MATCH_VARIANT","packId_shared_by_5_pdf_questions"
"158","En el cuentarrevoluciones de un vehículo pesado existe una zona marcada, generalmente, de color verde, ¿qué supone circular con un número de revoluciones por encima de esa zona?","1","q_1716b834","En el cuentarrevoluciones de un vehículo pesado existe una zona marcada, generalmente, de color verde, ¿qué supone circular con un número de revoluciones por encima de esa zona?","Un aumento del consumo de carburante.","Una menor cantidad de carburante inyectado.","WRONG_MATCH_VARIANT","packId_shared_by_5_pdf_questions"
"161","¿Qué actuación es correcta para reducir el consumo de carburante de un automóvil?","1","q_31a19c26","¿Qué actuación es correcta para reducir el consumo de carburante de un automóvil?","Utilizar la relación de marchas más alta posible de forma que la aguja del cuentarrevoluciones se mantenga en la zona de máxima eficiencia del motor, generalmente una zona marcada de color verde.","Dejar de acelerar con suficiente antelación dejando rodar el vehículo.","REAL_ANSWER_CONFLICT","q_sim=1_ans_sim=0.23"
"162","¿Qué actuación es inadecuada para reducir el consumo de carburante de un automóvil?","1","q_826c0101","¿Qué actuación es inadecuada para reducir el consumo de carburante de un automóvil?","Aumentar el número de revoluciones del motor utilizando para ello una relación de marchas adecuada.","Pisar el freno inmediatamente después de dejar de acelerar.","REAL_ANSWER_CONFLICT","q_sim=1_ans_sim=0.30"
"168","La zona de máxima eficiencia del motor, también llamada zona económica:","1","q_0e3b7a05","La zona de máxima eficiencia del motor, también llamada zona económica,:","está especificada en el cuentarrevoluciones, generalmente de color verde.","está situada en la parte trasera del vehículo.","REAL_ANSWER_CONFLICT","q_sim=1_ans_sim=0.38"
"170","En el cuentarrevoluciones, la zona de máxima eficiencia del motor está indicada en color:","1","q_45b2c308","En el cuentarrevoluciones, la zona de máxima eficiencia del motor está indicada en color:","verde.","rojo.","REAL_ANSWER_CONFLICT","q_sim=1_ans_sim=0.00"
"171","En el cuentarrevoluciones de un vehículo pesado es frecuente que exista una zona marcada de color verde, ¿qué indica?","1","q_f656ad1b","En el cuentarrevoluciones de un vehículo pesado es frecuente que exista una zona marcada de color verde, ¿qué indica?","La zona de menor consumo de carburante.","La zona de mayor potencia del motor.","NEEDS_REVIEW","q_sim=1_ans_sim=0.50"
"175","Una buena forma de ahorrar carburante al conducir un vehículo pesado es:","1","q_4bbb986e","Una buena forma de ahorrar carburante al conducir un vehículo pesado es:","mantener la aguja del cuentarrevoluciones del motor en la zona marcada, generalmente, de color verde.","aprovechar la inercia del vehículo.","WRONG_MATCH_VARIANT","packId_shared_by_5_pdf_questions"
"189","En el cuentarrevoluciones de un vehículo pesado existe una zona marcada, generalmente, de color verde, ¿qué indica?","1","q_06b152b8","En el cuentarrevoluciones de un vehículo pesado existe una zona marcada, generalmente, de color verde, ¿qué indica?","Es la zona de mejor aprovechamiento del carburante.","Es la zona de mayor consumo.","REAL_ANSWER_CONFLICT","q_sim=1_ans_sim=0.42"
"190","En el cuentarrevoluciones de un vehículo pesado existe una zona marcada, generalmente, de color verde, ¿qué supone circular con un número de revoluciones por encima de esa zona?","1","q_1716b834","En el cuentarrevoluciones de un vehículo pesado existe una zona marcada, generalmente, de color verde, ¿qué supone circular con un número de revoluciones por encima de esa zona?","Un mayor consumo.","Una menor cantidad de carburante inyectado.","WRONG_MATCH_VARIANT","packId_shared_by_5_pdf_questions"
